sys.exec.out.time {s},test.att_manager.maneuver.active {--},test.att_manager.maneuver.maneuvering {--},test.att_manager.maneuver.currentEuler {rad},test.att_manager.maneuver.eulerTarget {rad},test.att_manager.quatBodyWrtRef.scalar {--},test.att_manager.quatBodyWrtRef.vector[0] {--},test.att_manager.quatBodyWrtRef.vector[1] {--},test.att_manager.quatBodyWrtRef.vector[2] {--},test.att_manager.maneuver.mnvrRate[0] {rad/s},test.att_manager.maneuver.mnvrRate[1] {rad/s},test.att_manager.maneuver.mnvrRate[2] {rad/s}
                11.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9633649987177191, -0.2677319228884152,0.009347112013251849,-0.01265417753538713,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.2,0,0,   0.550000000000002,  0.5496313191970182,  0.9633383442988085, -0.2678282575211147,0.009339636318214205,-0.01265029921711316,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.3,0,0,   0.550000000000002,  0.5496313191970182,  0.9633116801870315, -0.2679245894589942,0.009332160529203498,-0.01264642077155508,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9632850063826562, -0.2680209187010842,0.009324684646294957,-0.01264254219875191,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.5,0,0,   0.550000000000002,  0.5496313191970182,   0.963258322885951, -0.2681172452464156,0.009317208669563795,-0.01263866349874269,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.6,0,0,   0.550000000000002,  0.5496313191970182,  0.9632316296971845,  -0.268213569094019,0.009309732599085241,-0.01263478467156644,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.7,0,0,   0.550000000000002,  0.5496313191970182,   0.963204926816625, -0.2683098902429255,0.009302256434934516,-0.01263090571726217,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.8,0,0,   0.550000000000002,  0.5496313191970182,  0.9631782142445414, -0.2684062086921657,0.009294780177186839,-0.01262702663586893,               0.002,9.39059190995282e-05,-0.0001260175830111451
                11.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9631514919812025, -0.2685025244407707,0.009287303825917441,-0.01262314742742575,               0.002,9.39059190995282e-05,-0.0001260175830111451
                  12,0,0,   0.550000000000002,  0.5496313191970182,  0.9631247600268771, -0.2685988374877712,0.009279827381201542,-0.01261926809197165,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.1,0,0,   0.550000000000002,  0.5496313191970182,  0.9630980183818338, -0.2686951478321982,0.009272350843114369,-0.01261538862954567,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.2,0,0,   0.550000000000002,  0.5496313191970182,  0.9630712670463423, -0.2687914554730826,0.009264874211731142,-0.01261150904018685,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.3,0,0,   0.550000000000002,  0.5496313191970182,  0.9630445060206714, -0.2688877604094554,  0.0092573974871271,-0.01260762932393421,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.4,0,0,   0.550000000000002,  0.5496313191970182,  0.9630177353050905, -0.2689840626403475,0.009249920669377468, -0.0126037494808268,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.5,0,0,   0.550000000000002,  0.5496313191970182,   0.962990954899869, -0.2690803621647903,0.009242443758557482,-0.01259986951090365,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.6,0,0,   0.550000000000002,  0.5496313191970182,   0.962964164805276, -0.2691766589818144,0.009234966754742363,-0.01259598941420379,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.7,0,0,   0.550000000000002,  0.5496313191970182,  0.9629373650215816, -0.2692729530904513,0.009227489658007348,-0.01259210919076629,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.8,0,0,   0.550000000000002,  0.5496313191970182,  0.9629105555490551, -0.2693692444897317,0.009220012468427657,-0.01258822884063016,               0.002,9.39059190995282e-05,-0.0001260175830111451
                12.9,0,0,   0.550000000000002,  0.5496313191970182,  0.9628837363879666, -0.2694655331786869,0.009212535186078541,-0.01258434836383447,               0.002,9.39059190995282e-05,-0.0001260175830111451
                  13,0,0,   0.550000000000002,  0.5496313191970182,  0.9628569075385852, -0.2695618191563484,0.009205057811035231,-0.01258046776041825,               0.002,9.39059190995282e-05,-0.0001260175830111451
