sys.exec.out.time {s},test.att_manager.perturbation.randomRates {--},test.att_manager.perturbation.prescribedAng[0] {rad},test.att_manager.perturbation.prescribedAng[1] {rad},test.att_manager.perturbation.prescribedAng[2] {rad},test.att_manager.perturbation.driftRate[0] {rad/s},test.att_manager.perturbation.driftRate[1] {rad/s},test.att_manager.perturbation.driftRate[2] {rad/s}
                16.3,0,-0.007424999999999952,-0.007580000000000038,0.002560000000000194,               0.002,              -0.002,               0.002
                16.4,0,-0.007224999999999961,-0.00778000000000003,0.002760000000000188,               0.002,              -0.002,               0.002
                16.5,0,-0.007024999999999962,-0.007980000000000029,0.002960000000000189,               0.002,              -0.002,               0.002
                16.6,0,-0.006824999999999963,-0.008180000000000028, 0.00316000000000019,               0.002,              -0.002,               0.002
                16.7,0,-0.006624999999999971,-0.008380000000000019,0.003360000000000184,               0.002,              -0.002,               0.002
                16.8,0,-0.006424999999999972,-0.008580000000000018,0.003560000000000186,               0.002,              -0.002,               0.002
                16.9,0,-0.006224999999999981,-0.00878000000000001, 0.00376000000000018,               0.002,              -0.002,               0.002
                  17,0,-0.006024999999999982,-0.008980000000000009, 0.00396000000000018,               0.002,              -0.002,               0.002
                17.1,0,-0.005824999999999983,-0.009180000000000008,0.004160000000000179,               0.002,              -0.002,               0.002
                17.2,0,-0.005624999999999991,-0.009379999999999999,0.004360000000000171,               0.002,              -0.002,               0.002
                17.3,0,-0.005424999999999992,-0.009579999999999998, 0.00456000000000017,               0.002,              -0.002,               0.002
                17.4,0,           -0.005225,-0.00977999999999999,0.004760000000000162,               0.002,              -0.002,               0.002
                17.5,0,-0.005025000000000002,-0.009979999999999989, 0.00496000000000016,               0.002,              -0.002,               0.002
                17.6,0,-0.004825000000000003,-0.009839999999999991,0.005160000000000159,               0.002,               0.002,               0.002
                17.7,0,-0.004625000000000011,-0.009639999999999999,0.005360000000000151,               0.002,               0.002,               0.002
                17.8,0,-0.004425000000000012,            -0.00944, 0.00556000000000015,               0.002,               0.002,               0.002
                17.9,0,-0.00422500000000002,-0.009240000000000009,0.005760000000000142,               0.002,               0.002,               0.002
                  18,0,-0.004025000000000022,-0.00904000000000001,0.005960000000000141,               0.002,               0.002,               0.002
                18.1,0,-0.003825000000000022,-0.008840000000000011,0.006160000000000139,               0.002,               0.002,               0.002
                18.2,0,-0.003625000000000028,-0.008640000000000019,0.006360000000000131,               0.002,               0.002,               0.002
                18.3,0,-0.003425000000000026,-0.00844000000000002, 0.00656000000000013,               0.002,               0.002,               0.002
                18.4,0,-0.003225000000000032,-0.008240000000000029,0.006760000000000122,               0.002,               0.002,               0.002
                18.5,0,-0.003025000000000031,-0.00804000000000003,0.006960000000000121,               0.002,               0.002,               0.002
                18.6,0,-0.002825000000000029,-0.007840000000000031,0.007160000000000119,               0.002,               0.002,               0.002
                18.7,0,-0.002625000000000035,-0.007640000000000039,0.007360000000000111,               0.002,               0.002,               0.002
                18.8,0,-0.002425000000000034,-0.00744000000000004, 0.00756000000000011,               0.002,               0.002,               0.002
                18.9,0,-0.00222500000000004,-0.007240000000000048,0.007760000000000102,               0.002,               0.002,               0.002
                  19,0,-0.002025000000000038,-0.00704000000000005,0.007960000000000101,               0.002,               0.002,               0.002
                19.1,0,-0.001825000000000036,-0.006840000000000051,0.008160000000000099,               0.002,               0.002,               0.002
                19.2,0,-0.00162500000000004,-0.006640000000000059,0.008360000000000091,               0.002,               0.002,               0.002
                19.3,0,-0.001425000000000037,-0.00644000000000006, 0.00856000000000009,               0.002,               0.002,               0.002
                19.4,0,-0.001225000000000041,-0.006240000000000068,0.008760000000000082,               0.002,               0.002,               0.002
                19.5,0,-0.001025000000000037,-0.00604000000000007,0.008960000000000081,               0.002,               0.002,               0.002
                19.6,0,-0.0008250000000000349,-0.005840000000000071, 0.00916000000000008,               0.002,               0.002,               0.002
                19.7,0,-0.0006250000000000398,-0.005640000000000079,0.009360000000000071,               0.002,               0.002,               0.002
                19.8,0,-0.0004250000000000373,-0.00544000000000008, 0.00956000000000007,               0.002,               0.002,               0.002
                19.9,0,-0.0002250000000000414,-0.005240000000000088,0.009760000000000062,               0.002,               0.002,               0.002
                  20,0,-2.500000000003844e-05,-0.00504000000000009,0.009960000000000061,               0.002,               0.002,               0.002
