sys.exec.out.time {s},test_object.var {--}
                  29,   1.999999999999987
                29.1,    1.76534830243964
                29.2,   1.536474508437574
                29.3,   1.319014250390674
                29.4,   1.118322121561284
                29.5,  0.9393398282201724
                29.6,  0.7864745084375666
                29.7,  0.6634902137174479
                29.8,  0.5734152255572691
                29.9,  0.5184674891072911
                  30,                 0.5
                30.1,   0.518467489107296
                30.2,  0.5734152255572718
                30.3,  0.6634902137174521
                30.4,  0.7864745084375848
                30.5,  0.9393398282201868
                30.6,   1.118322121561301
                30.7,   1.319014250390683
                30.8,   1.536474508437583
                30.9,    1.76534830243966
                  31,   2.000000000000018
                31.1,   2.234651697560365
                31.2,   2.463525491562421
                31.3,    2.68098574960933
                31.4,    2.88167787843872
                31.5,   3.060660171779831
                31.6,    3.21352549156243
                31.7,   3.336509786282555
                31.8,   3.426584774442733
                31.9,   3.481532510892708
                  32,                   3
                32.1,   2.951056516295145
                32.2,   2.809016994374947
                32.3,   2.587785252292482
                32.4,    2.30901699437493
                32.5,   2.000000000000008
                32.6,   1.690983005625031
                32.7,   1.412214747707519
                32.8,   1.190983005625062
                32.9,   1.048943483704842
                  33,                   1
                33.1,   1.048943483704852
                33.2,   1.190983005625055
                33.3,    1.41221474770752
                33.4,    1.69098300562506
                33.5,   1.999999999999996
                33.6,   2.309016994374972
                33.7,   2.587785252292472
                33.8,   2.809016994374939
                33.9,   2.951056516295159
                  34,    2.49384417029757
                34.1,                 2.5
                34.2,   2.493844170297568
                34.3,   2.475528258147576
                34.4,   2.445503262094181
                34.5,   2.404508497187472
                34.6,   2.353553390593273
                34.7,   2.293892626146233
                34.8,   2.226995249869772
                34.9,   2.154508497187468
                  35,   2.131936524982676
                35.1,   2.166409772261494
                35.2,   2.208616356830885
                35.3,   2.257219766890748
                35.4,   2.310163378988271
                35.5,   2.364484313710696
                35.6,   2.416170636920327
                35.7,   2.460115923682936
                35.8,   2.490238811686472
                35.9,    2.49984209464165
                  36,     2.4822787092289
                36.1,   2.431961708596416
                36.2,   2.345693484477597
                36.3,   2.224191608045017
                36.4,   2.073559455919311
                36.5,   1.906309342707131
                36.6,   1.741434504930918
                36.7,   1.603004800676075
                36.8,   1.516901834359141
                36.9,   1.505674127631043
                  37,   1.582096319315867
                37.1,   1.742780233109255
                37.2,   1.963903114058577
                37.3,    2.20145321785682
                37.4,     2.3979481733405
                37.5,   2.496057350657238
                37.6,   2.456985445137033
                37.7,   2.278437808244095
                37.8,    2.00471231921659
                37.9,    1.72156219175592
                  38,    1.53227798458507
                38.1,   1.518986164206956
                38.2,   1.702308080145819
                38.3,   2.018845091334949
                38.4,   2.334176010083886
                38.5,   2.496057350657238
                38.6,   2.410873204314794
                38.7,   2.106003554961022
                38.8,   1.736077244027473
                38.9,   1.512736563606713
                  39,   1.582096319315863
                39.1,   1.918681417402563
                39.2,   2.315066935592694
                39.3,    2.49984209464165
                39.4,   2.327106484467938
                39.5,   1.906309342707142
                39.6,   1.552377175837591
                39.7,   1.555931775593235
                39.8,   1.932661005251404
                39.9,   2.372970572712085
                  40,   2.482278709228901
                40.1,   2.142509631234981
                40.2,   1.661176781264946
                40.3,   1.512736563606706
                40.4,   1.865035852769737
                40.5,   2.364484313710703
                40.6,   2.468823249648619
                40.7,    2.04392559827536
                40.8,   1.564136296730759
                40.9,   1.603004800676076
                  41,   2.131936524982676
                41.1,    2.49747550849065
                41.2,   2.217144024644894
                41.3,   1.644232161395376
                41.4,   1.556655872149715
                41.5,   2.093690657292856
                41.6,   2.498202342822296
                41.7,   2.166409772261489
                41.8,   1.580379773673825
                41.9,   1.644232161395342
                  42,   2.108224250425371
                42.1,   2.186865788491322
                42.2,    1.96871310699195
                42.3,   1.800252608678797
                42.4,   1.949045854863315
                42.5,    2.17876828483025
                42.6,   2.124557556097623
                42.7,   1.872515202050261
                42.8,   1.822953737733503
                42.9,   2.054590387103455
                  43,   2.199522501272245
                43.1,    2.02755805813693
                43.2,   1.811823846209155
                43.3,   1.894965074007728
                43.4,   2.144930626037401
                43.5,    2.16470651952569
                43.6,   1.922883201544524
                43.7,   1.803542549854263
                43.8,   1.996230312056903
                43.9,   2.194905374557313
                  44,    2.08401714568237
                44.1,   1.839686603025827
                44.2,   1.849977786073907
                44.3,   2.098545468309644
                44.4,   2.190595868303448
                44.5,   1.979927657029768
                44.6,   1.801139841920601
                44.7,   1.938196601125008
                44.8,   2.173414140232889
                44.9,   2.133202373486861
                  45,   1.881428635967797
